id,pets,capacity,extraBowls,minStepsMin,minStepsMax,label
1,"Cat,Dog",3,2,3,7,新手
2,"Cat,Dog",3,2,4,8,新手
3,"Cat,Dog",3,1,5,8,新手
4,"Cat,Dog,Hamster",3,2,5,9,新手
5,"Cat,Dog,Hamster",3,2,6,10,新手
6,"Cat,Dog,Hamster",3,1,7,10,入门
7,"Cat,Dog,Hamster",3,1,7,11,入门
8,"Cat,Dog,Hamster",3,1,8,11,入门
9,"Cat,Dog,Hamster",3,1,8,12,入门
10,"Dog,Parrot,Cat",3,1,9,13,入门·卡点
11,"Dog,Parrot,Cat",3,2,6,10,进阶·喘息
12,"Dog,Parrot,Cat",3,1,8,12,进阶
13,"Dog,Parrot,Rabbit,Cat",4,2,8,12,进阶
14,"Dog,Parrot,Rabbit,Cat",4,1,9,13,进阶
15,"Dog,Parrot,Rabbit,Cat",4,1,10,14,进阶·卡点
16,"Dog,Parrot,Rabbit,Cat",4,2,7,11,中难·喘息
17,"Fish,Rabbit,Dog,Hamster",4,1,9,13,中难
18,"Fish,Rabbit,Dog,Hamster",4,1,10,13,中难
19,"Fish,Rabbit,Dog,Hamster",4,1,10,14,中难
20,"Cat,Dog,Hamster,Parrot",4,1,11,15,中难·卡点
21,"Cat,Dog,Hamster,Parrot",4,2,8,12,困难·喘息
22,"Cat,Dog,Hamster,Parrot",4,1,10,13,困难
23,"Cat,Dog,Hamster,Parrot",4,1,10,14,困难
24,"Cat,Dog,Hamster,Parrot",4,1,11,14,困难
25,"Cat,Dog,Hamster,Parrot",4,1,12,16,困难·卡点
26,"Cat,Dog,Hamster,Parrot",4,2,8,12,困难·喘息
27,"Cat,Dog,Hamster,Parrot,Fish",4,2,10,14,困难
28,"Cat,Dog,Hamster,Parrot,Fish",4,1,11,15,困难
29,"Cat,Dog,Hamster,Parrot,Fish",4,1,12,15,困难
30,"Cat,Dog,Hamster,Parrot,Fish",4,1,13,17,困难·卡点
31,"Cat,Dog,Hamster,Parrot,Fish",5,2,9,13,挑战·喘息
32,"Cat,Dog,Hamster,Parrot,Fish",5,1,11,15,挑战
33,"Cat,Dog,Hamster,Parrot,Fish",5,1,12,16,挑战
34,"Cat,Dog,Hamster,Parrot,Fish",5,1,12,16,挑战
35,"Cat,Dog,Hamster,Parrot,Fish",5,1,13,17,挑战·卡点
36,"Cat,Dog,Hamster,Parrot,Fish",5,2,10,14,挑战·喘息
37,"Cat,Dog,Hamster,Parrot,Fish",5,1,12,16,挑战
38,"Cat,Dog,Hamster,Parrot,Fish",5,1,13,17,挑战
39,"Cat,Dog,Hamster,Parrot,Fish",5,1,13,17,挑战
40,"Cat,Dog,Hamster,Parrot,Fish",5,1,14,18,挑战·卡点
41,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,2,11,15,挑战·喘息
42,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,1,13,17,挑战
43,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,1,13,18,挑战
44,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,1,14,18,挑战
45,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,1,15,19,挑战·卡点
46,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,2,11,15,地狱·喘息
47,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,1,13,17,地狱
48,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,1,14,18,地狱
49,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,1,14,19,地狱
50,"Cat,Dog,Hamster,Parrot,Fish,Rabbit",5,1,15,20,地狱·终极
